Parameter,Layer,Index,Value
Weight of Layer 1,Weight,288,-0.1428501009941101
Weight of Layer 1,Weight,289,-0.11738140881061554
Weight of Layer 1,Weight,290,-0.0
Weight of Layer 1,Weight,291,-0.0
Weight of Layer 1,Weight,292,-0.0
Weight of Layer 1,Weight,293,-0.0
Weight of Layer 1,Weight,294,-0.0
Weight of Layer 1,Weight,295,0.0
Weight of Layer 1,Weight,296,0.0
Weight of Layer 1,Weight,297,0.0
Weight of Layer 1,Weight,298,0.0
Weight of Layer 1,Weight,299,0.0
Weight of Layer 1,Weight,300,0.0
Weight of Layer 1,Weight,301,0.0
Weight of Layer 1,Weight,302,-0.0
Weight of Layer 1,Weight,303,-0.0
Weight of Layer 1,Weight,304,-0.0
Weight of Layer 1,Weight,305,-0.0
Weight of Layer 1,Weight,306,-0.0
Weight of Layer 1,Weight,307,-0.0
Weight of Layer 1,Weight,308,-0.0
Weight of Layer 1,Weight,309,-0.0
Weight of Layer 1,Weight,310,0.0
Weight of Layer 1,Weight,311,0.20916995406150818
Weight of Layer 1,Weight,312,0.26199793815612793
Weight of Layer 1,Weight,313,0.1536538451910019
Weight of Layer 1,Weight,314,-0.05220300704240799
Weight of Layer 1,Weight,315,-0.16529734432697296
Weight of Layer 1,Weight,316,-0.19200433790683746
Weight of Layer 1,Weight,317,-0.16005995869636536
Weight of Layer 1,Weight,318,-0.0
Weight of Layer 1,Weight,319,-0.0
Weight of Layer 1,Weight,320,-0.0
Weight of Layer 1,Weight,321,-0.0
Weight of Layer 1,Weight,322,0.0
Weight of Layer 1,Weight,323,0.0
Weight of Layer 1,Weight,324,0.0
Weight of Layer 1,Weight,325,0.0
Weight of Layer 1,Weight,326,0.0
Weight of Layer 1,Weight,327,0.0
Weight of Layer 1,Weight,328,0.0
Weight of Layer 1,Weight,329,0.0
Weight of Layer 1,Weight,330,0.0
Weight of Layer 1,Weight,331,-0.0
Weight of Layer 1,Weight,332,-0.0
Weight of Layer 1,Weight,333,-0.0
Weight of Layer 1,Weight,334,-0.0
Weight of Layer 1,Weight,335,-0.0
Weight of Layer 1,Weight,336,-0.0
Weight of Layer 1,Weight,337,0.0
Weight of Layer 1,Weight,338,-0.0
Weight of Layer 1,Weight,339,-0.062037501484155655
Weight of Layer 1,Weight,340,0.2493606060743332
Weight of Layer 1,Weight,341,-0.029303379356861115
Weight of Layer 1,Weight,342,-0.09035538136959076
Weight of Layer 1,Weight,343,-0.18409006297588348
Weight of Layer 1,Weight,344,-0.11292135715484619
Weight of Layer 1,Weight,345,-0.20118556916713715
Weight of Layer 1,Weight,346,-0.0
Weight of Layer 1,Weight,347,-0.0
Weight of Layer 1,Weight,348,-0.0
Weight of Layer 1,Weight,349,0.0
Weight of Layer 1,Weight,350,0.0
Weight of Layer 1,Weight,351,0.0
Weight of Layer 1,Weight,352,0.0
Weight of Layer 1,Weight,353,0.0
Weight of Layer 1,Weight,354,0.0
Weight of Layer 1,Weight,355,0.0
Weight of Layer 1,Weight,356,0.0
Weight of Layer 1,Weight,357,0.0
Weight of Layer 1,Weight,358,0.0
Weight of Layer 1,Weight,359,0.0
Weight of Layer 1,Weight,360,-0.0
Weight of Layer 1,Weight,361,-0.0
Weight of Layer 1,Weight,362,-0.0
Weight of Layer 1,Weight,363,-0.0
Weight of Layer 1,Weight,364,-0.0
Weight of Layer 1,Weight,365,-0.0
Weight of Layer 1,Weight,366,0.0
Weight of Layer 1,Weight,367,-0.08360381424427032
Weight of Layer 1,Weight,368,-0.0632597953081131
Weight of Layer 1,Weight,369,-0.03544798120856285
Weight of Layer 1,Weight,370,-0.07738544046878815
Weight of Layer 1,Weight,371,-0.0631026178598404
Weight of Layer 1,Weight,372,-0.15554282069206238
Weight of Layer 1,Weight,373,-0.15903206169605255
Weight of Layer 1,Weight,374,-0.0
Weight of Layer 1,Weight,375,-0.0
Weight of Layer 1,Weight,376,-0.0
Weight of Layer 1,Weight,377,0.0
Weight of Layer 1,Weight,378,0.0
Weight of Layer 1,Weight,379,0.0
Weight of Layer 1,Weight,380,0.0
Weight of Layer 1,Weight,381,0.0
Weight of Layer 1,Weight,382,0.0
Weight of Layer 1,Weight,383,0.0
Weight of Layer 1,Weight,384,0.0
Weight of Layer 1,Weight,385,0.0
Weight of Layer 1,Weight,386,0.0
Weight of Layer 1,Weight,387,0.0
Weight of Layer 1,Weight,388,0.0
Weight of Layer 1,Weight,389,-0.0
Weight of Layer 1,Weight,390,-0.0
Weight of Layer 1,Weight,391,-0.0
Weight of Layer 1,Weight,392,0.0
Weight of Layer 1,Weight,393,-0.0
Weight of Layer 1,Weight,394,0.0
Weight of Layer 1,Weight,395,0.2635151147842407
Weight of Layer 1,Weight,396,-0.25407594442367554
Weight of Layer 1,Weight,397,-0.13825801014900208
Weight of Layer 1,Weight,398,-0.07315421104431152
Weight of Layer 1,Weight,399,-0.08695278316736221
Weight of Layer 1,Weight,400,-0.16660694777965546
Weight of Layer 1,Weight,401,-0.13764196634292603
Weight of Layer 1,Weight,402,-0.0
Weight of Layer 1,Weight,403,-0.0
Weight of Layer 1,Weight,404,0.0
Weight of Layer 1,Weight,405,0.0
Weight of Layer 1,Weight,406,0.0
Weight of Layer 1,Weight,407,0.0
Weight of Layer 1,Weight,408,0.0
Weight of Layer 1,Weight,409,0.0
Weight of Layer 1,Weight,410,0.0
Weight of Layer 1,Weight,411,0.0
Weight of Layer 1,Weight,412,0.0
Weight of Layer 1,Weight,413,0.0
Weight of Layer 1,Weight,414,0.0
Weight of Layer 1,Weight,415,0.0
Weight of Layer 1,Weight,416,0.0
Weight of Layer 1,Weight,417,-0.0
Weight of Layer 1,Weight,418,-0.0
Weight of Layer 1,Weight,419,-0.0
Weight of Layer 1,Weight,420,-0.0
Weight of Layer 1,Weight,421,0.0
Weight of Layer 1,Weight,422,0.0
Weight of Layer 1,Weight,423,0.23171666264533997
Weight of Layer 1,Weight,424,0.18828465044498444
Weight of Layer 1,Weight,425,0.1805005967617035
Weight of Layer 1,Weight,426,-0.011880848556756973
Weight of Layer 1,Weight,427,-0.083283931016922
Weight of Layer 1,Weight,428,-0.12963508069515228
Weight of Layer 1,Weight,429,-0.1630982905626297
Weight of Layer 1,Weight,430,-0.0
Weight of Layer 1,Weight,431,-0.0
Weight of Layer 1,Weight,432,-0.0
Weight of Layer 1,Weight,433,0.0
Weight of Layer 1,Weight,434,0.0
Weight of Layer 1,Weight,435,0.0
Weight of Layer 1,Weight,436,0.0
Weight of Layer 1,Weight,437,0.0
Weight of Layer 1,Weight,438,0.0
Weight of Layer 1,Weight,439,0.0
Weight of Layer 1,Weight,440,0.0
Weight of Layer 1,Weight,441,0.0
Weight of Layer 1,Weight,442,0.0
Weight of Layer 1,Weight,443,0.0
Weight of Layer 1,Weight,444,0.0
Weight of Layer 1,Weight,445,0.0
Weight of Layer 1,Weight,446,-0.0
Weight of Layer 1,Weight,447,0.0
Weight of Layer 1,Weight,448,0.0
Weight of Layer 1,Weight,449,-0.0
Weight of Layer 1,Weight,450,0.0
Weight of Layer 1,Weight,451,0.0
Weight of Layer 1,Weight,452,0.0
Weight of Layer 1,Weight,453,0.0
Weight of Layer 1,Weight,454,-0.0
Weight of Layer 1,Weight,455,-0.0
Weight of Layer 1,Weight,456,-0.0
Weight of Layer 1,Weight,457,-0.0
Weight of Layer 1,Weight,458,-0.0
Weight of Layer 1,Weight,459,-0.0
Weight of Layer 1,Weight,460,-0.0
Weight of Layer 1,Weight,461,-0.0
Weight of Layer 1,Weight,462,-0.0
Weight of Layer 1,Weight,463,-0.0
Weight of Layer 1,Weight,464,-0.0
Weight of Layer 1,Weight,465,0.0
Weight of Layer 1,Weight,466,0.0
Weight of Layer 1,Weight,467,0.0
Weight of Layer 1,Weight,468,0.0
Weight of Layer 1,Weight,469,0.0
Weight of Layer 1,Weight,470,0.0
Weight of Layer 1,Weight,471,0.0
Weight of Layer 1,Weight,472,0.0
Weight of Layer 1,Weight,473,0.0
Weight of Layer 1,Weight,474,-0.0
Weight of Layer 1,Weight,475,0.0
Weight of Layer 1,Weight,476,0.0
Weight of Layer 1,Weight,477,0.0
Weight of Layer 1,Weight,478,0.0
Weight of Layer 1,Weight,479,0.0
Weight of Layer 1,Weight,480,0.0
Weight of Layer 1,Weight,481,0.0
Weight of Layer 1,Weight,482,-0.0
Weight of Layer 1,Weight,483,-0.0
Weight of Layer 1,Weight,484,-0.0
Weight of Layer 1,Weight,485,-0.0
Weight of Layer 1,Weight,486,-0.0
Weight of Layer 1,Weight,487,-0.0
Weight of Layer 1,Weight,488,-0.0
Weight of Layer 1,Weight,489,-0.0
Weight of Layer 1,Weight,490,-0.0
Weight of Layer 1,Weight,491,-0.0
Weight of Layer 1,Weight,492,-0.0
Weight of Layer 1,Weight,493,-0.0
Weight of Layer 1,Weight,494,0.0
Weight of Layer 1,Weight,495,0.0
Weight of Layer 1,Weight,496,0.0
Weight of Layer 1,Weight,497,0.0
Weight of Layer 1,Weight,498,0.0
Weight of Layer 1,Weight,499,0.0
Weight of Layer 1,Weight,500,0.0
Weight of Layer 1,Weight,501,0.0
Weight of Layer 1,Weight,502,-0.0
Weight of Layer 1,Weight,503,-0.0
Weight of Layer 1,Weight,504,0.0
Weight of Layer 1,Weight,505,0.0
Weight of Layer 1,Weight,506,0.0
Weight of Layer 1,Weight,507,0.0
Weight of Layer 1,Weight,508,0.0
Weight of Layer 1,Weight,509,0.0
Weight of Layer 1,Weight,510,-0.0
Weight of Layer 1,Weight,511,-0.0
Weight of Layer 1,Weight,512,-0.0
Weight of Layer 1,Weight,513,-0.0
Weight of Layer 1,Weight,514,-0.0
Weight of Layer 1,Weight,515,-0.0
Weight of Layer 1,Weight,516,-0.0
Weight of Layer 1,Weight,517,-0.0
Weight of Layer 1,Weight,518,-0.0
Weight of Layer 1,Weight,519,-0.0
Weight of Layer 1,Weight,520,-0.0
Weight of Layer 1,Weight,521,-0.0
Weight of Layer 1,Weight,522,0.0
Weight of Layer 1,Weight,523,0.0
Weight of Layer 1,Weight,524,0.0
Weight of Layer 1,Weight,525,0.0
Weight of Layer 1,Weight,526,0.0
Weight of Layer 1,Weight,527,0.0
Weight of Layer 1,Weight,528,0.0
Weight of Layer 1,Weight,529,-0.0
Weight of Layer 1,Weight,530,-0.0
Weight of Layer 1,Weight,531,-0.0
Weight of Layer 1,Weight,532,0.0
Weight of Layer 1,Weight,533,-0.0
Weight of Layer 1,Weight,534,0.0
Weight of Layer 1,Weight,535,0.0
Weight of Layer 1,Weight,536,0.0
Weight of Layer 1,Weight,537,0.0
Weight of Layer 1,Weight,538,0.0
Weight of Layer 1,Weight,539,-0.0
Weight of Layer 1,Weight,540,-0.0
Weight of Layer 1,Weight,541,-0.0
